@relation ????

@attribute Word numeric
@attribute Upvote numeric
@attribute Link numeric
@attribute Comment numeric
@attribute useful {yes,no}

@data
30,11,0,0,yes
16,1,0,0,yes
20,1,0,1,yes
22,3,0,0,yes
42,12,0,1,yes
14,1,0,0,yes
29,3,0,0,yes
26,2,0,0,yes
36,1,0,0,yes
47,2,0,0,yes
27,10,0,0,yes
6,18,0,0,yes
6,8,0,1,yes
10,73,0,0,yes
7,31,0,0,yes
9,52,0,0,yes
9,35,0,0,yes
5,7,0,0,yes
9,16,0,0,yes
6,18,0,0,yes
13,261,0,1,yes
7,28,0,1,yes
7,11,0,0,yes
12,34,0,0,yes
9,31,0,0,yes
17,40,0,0,yes
6,52,0,1,yes
10,27,0,0,yes
10,30,0,0,yes
9,14,0,0,yes
8,11,0,0,yes
9,8,0,0,yes
8,11,0,0,yes
9,9,0,0,yes
9,24,0,1,yes
8,16,0,0,yes
6,2,0,0,yes
12,10,0,0,yes
19,217,0,0,yes
6,2,0,0,yes
14,20,0,0,yes
12,31,0,0,yes
15,10,0,1,yes
14,22,0,0,yes
11,8,0,1,yes
7,4,0,0,yes
6,1,0,0,yes
10,37,0,1,yes
8,8,0,0,yes
8,5,0,0,yes
12,3,0,0,yes
6,2,0,0,yes
9,1,0,0,yes
23,7,0,0,yes
14,4,0,0,yes
16,5,0,1,yes
9,1,0,0,yes
15,2,0,0,yes
14,1,0,0,yes
16,3,0,0,yes
13,2,0,0,yes
29,8,0,0,yes
19,5,0,0,yes
17,1,0,0,yes
21,5,0,1,yes
15,4,0,0,yes
16,3,0,1,yes
17,2,0,0,yes
44,17,0,0,yes
32,3,0,0,yes
44,4,0,1,yes
19,18,0,1,no
10,1,0,0,no
19,8,0,0,yes
13,46,0,0,no
13,73,0,0,no
11,14,0,0,no
11,8,0,0,yes
21,14,0,0,no
15,11,0,0,no
8,26,0,1,yes
7,23,0,1,yes
8,16,0,0,yes
9,18,0,0,yes
11,40,0,0,yes
16,31,0,1,yes
16,25,0,0,yes
11,6,0,0,yes
15,4,0,0,yes
32,34,0,1,yes
47,2,0,0,yes
60,3,0,0,yes
27,2,0,0,no
19,6,0,0,yes
23,13,0,1,no
28,38,0,0,no
10,8,0,0,no
11,40,0,0,yes
19,6,0,0,yes
8,20,0,0,no
6,5,0,1,yes
7,9,0,0,yes
7,5,0,1,no
21,9,0,1,yes
8,7,0,0,yes
15,9,0,1,yes
11,6,0,1,yes
8,5,0,0,no
15,12,0,1,yes
10,9,0,0,yes
21,8,0,1,yes
12,7,0,0,yes
19,8,0,0,yes
22,11,0,1,yes
12,6,0,0,yes
12,7,0,0,yes
18,6,0,0,yes
25,23,0,1,yes
15,23,0,1,yes
18,7,0,1,yes
22,13,0,0,yes
19,5,0,1,yes
44,10,0,0,yes
27,9,0,1,yes
27,50,0,1,yes
23,9,0,0,yes
37,52,0,0,yes
31,13,0,0,yes
20,14,0,0,yes
19,6,0,1,yes
18,1,0,0,yes
22,8,0,0,yes
11,0,0,0,yes
24,11,0,0,yes
27,22,0,1,yes
26,2,0,1,yes
13,3,0,0,yes
21,4,0,1,yes
22,2,0,0,yes
30,16,0,0,yes
6,40,0,0,yes
6,10,0,1,yes
8,13,0,0,yes
7,16,0,1,yes
9,29,0,0,yes
7,27,0,0,yes
7,15,0,1,yes
13,27,0,1,yes
13,73,0,0,yes
7,11,0,0,yes
7,8,0,0,yes
9,11,0,1,yes
7,6,0,0,yes
8,8,0,0,yes
8,12,0,0,yes
8,6,0,0,yes
8,10,0,0,yes
9,11,0,0,yes
17,8,0,0,yes
8,28,0,1,yes
9,6,0,0,yes
8,8,0,0,yes
9,26,0,0,yes
9,4,0,0,yes
10,9,0,1,yes
7,5,0,0,yes
9,6,0,0,yes
5,4,0,0,yes
13,11,0,0,yes
13,46,0,0,yes
9,7,0,0,yes
14,14,0,0,yes
12,4,0,0,yes
12,20,0,0,yes
10,9,0,0,yes
6,7,0,0,yes
9,4,0,0,yes
9,10,0,0,yes
11,8,0,0,yes
10,29,0,1,yes
7,8,0,0,yes
8,11,0,0,yes
16,94,0,0,yes
9,8,0,0,yes
13,4,0,0,yes
10,7,0,0,yes
15,8,0,0,yes
20,25,0,1,yes
15,14,0,0,yes
10,4,0,0,yes
13,7,0,0,yes
15,8,0,0,yes
15,9,0,0,yes
15,15,0,0,yes
15,5,0,1,yes
13,5,0,0,yes
15,13,0,0,yes
15,6,0,0,yes
5,1,0,0,yes
13,2,0,0,yes
18,5,0,0,yes
23,7,0,0,yes
18,5,0,1,yes
18,2,0,0,yes
17,3,0,0,yes
14,2,0,0,yes
16,1,0,0,yes
46,3,0,0,yes
17,1,0,0,yes
28,4,0,0,yes
37,7,0,0,yes
25,1,0,0,yes
28,5,0,0,yes
10,5,0,0,yes
9,1,0,0,yes
16,8,0,0,yes
20,13,0,0,yes
13,3,0,0,yes
12,4,0,0,yes
23,3,0,1,yes
21,4,0,0,yes
22,2,0,0,yes
7,4,0,0,yes
16,8,0,1,yes
11,151,0,0,no
13,19,0,0,no
11,8,0,0,yes
16,11,0,0,yes
13,9,0,0,yes
20,4,0,1,yes
16,15,0,0,yes
13,11,0,0,yes
31,14,0,0,yes
